Employee_ID,Age,Department,Years_Experience,Salary,Remote_Worker,Performance_Score,Attrition
EMP_0329,30.0,Sales,10.0,91759,Yes,High,No
EMP_0330,25.0,IT,3.0,81153,Yes,Medium,No
EMP_0331,30.0,Sales,2.0,117535,Yes,Medium,No
EMP_0332,45.0,HR,1.0,42581,Yes,High,Yes
EMP_0333,22.0,Marketing,5.0,91717,Yes,High,No
EMP_0334,25.0,Marketing,3.0,42763,Yes,High,No
EMP_0335,22.0,Marketing,7.0,95480,Yes,Low,No
EMP_0336,22.0,HR,10.0,78759,No,Medium,No
EMP_0337,50.0,Sales,1.0,116067,Yes,High,No
EMP_0338,40.0,HR,7.0,65307,No,Medium,Yes
EMP_0339,30.0,Marketing,2.0,51064,No,Low,No
EMP_0340,22.0,HR,10.0,116848,No,Low,No
EMP_0341,30.0,HR,10.0,77548,Yes,Low,No
EMP_0342,30.0,HR,3.0,76945,No,Low,No
EMP_0343,25.0,Sales,7.0,87937,No,Medium,No
EMP_0344,30.0,IT,2.0,46476,Yes,Low,Yes
EMP_0345,30.0,IT,3.0,91756,Yes,Low,No
EMP_0346,35.0,HR,10.0,42382,No,High,No
EMP_0347,35.0,IT,3.0,89683,Yes,Low,No
EMP_0348,22.0,IT,3.0,85276,Yes,High,No
EMP_0349,30.0,HR,3.0,73402,Yes,Low,No
EMP_0350,35.0,HR,10.0,66946,Yes,Low,Yes
EMP_0351,35.0,Marketing,2.0,119698,No,High,No
EMP_0352,50.0,IT,2.0,113933,Yes,Low,No
EMP_0353,40.0,Sales,7.0,62335,Yes,Medium,No
EMP_0354,25.0,HR,10.0,85095,Yes,Medium,No
EMP_0355,22.0,Marketing,1.0,119930,No,Low,Yes
EMP_0356,35.0,Sales,2.0,67197,No,Medium,No
EMP_0357,22.0,IT,1.0,62010,Yes,High,Yes
EMP_0358,35.0,Marketing,2.0,64123,Yes,Low,Yes
EMP_0359,50.0,HR,3.0,42890,No,Low,Yes
EMP_0360,35.0,Sales,7.0,48026,Yes,High,Yes
EMP_0361,30.0,HR,5.0,104925,Yes,High,No
EMP_0362,35.0,IT,5.0,108842,No,High,No
EMP_0363,30.0,Sales,3.0,73665,Yes,Low,No
EMP_0364,35.0,IT,10.0,49277,Yes,High,No
EMP_0365,50.0,IT,3.0,82239,No,High,No
EMP_0366,30.0,Marketing,,87664,No,Medium,Yes
EMP_0367,,HR,5.0,88008,Yes,Medium,Yes
EMP_0368,50.0,Sales,1.0,54683,No,Low,No
EMP_0369,25.0,IT,5.0,40670,Yes,Medium,No
EMP_0370,22.0,IT,2.0,57889,Yes,Medium,No
EMP_0371,25.0,Sales,5.0,95612,Yes,High,No
EMP_0372,22.0,IT,1.0,84535,No,High,No
EMP_0373,22.0,Marketing,2.0,118542,No,Medium,No
EMP_0374,40.0,Marketing,10.0,94319,Yes,Medium,No
EMP_0375,22.0,Marketing,2.0,61639,Yes,Medium,No
EMP_0376,30.0,Marketing,10.0,104712,No,Low,No
EMP_0377,45.0,IT,2.0,56633,No,Low,No
EMP_0378,22.0,Sales,5.0,74660,No,Low,No
EMP_0379,45.0,Sales,5.0,108975,Yes,Medium,No
EMP_0380,25.0,Sales,3.0,72172,No,Medium,Yes
EMP_0381,25.0,Sales,2.0,99197,No,Low,No
EMP_0382,40.0,HR,2.0,98847,Yes,Low,Yes
EMP_0383,35.0,Sales,1.0,51577,Yes,Medium,No
EMP_0384,50.0,HR,2.0,117299,Yes,High,No
EMP_0385,40.0,HR,5.0,60176,No,Low,No
EMP_0386,45.0,Marketing,15.0,84386,Yes,Medium,No
EMP_0387,25.0,HR,10.0,103972,Yes,Medium,No
EMP_0388,25.0,IT,7.0,81003,Yes,High,No
EMP_0389,45.0,HR,7.0,59996,Yes,Medium,No
EMP_0390,45.0,Marketing,5.0,75931,No,Medium,No
EMP_0391,,HR,2.0,75710,Yes,Low,Yes
EMP_0392,30.0,IT,15.0,74693,No,Low,No
EMP_0393,30.0,IT,5.0,75740,No,High,No
EMP_0394,45.0,IT,5.0,117241,No,High,No
EMP_0395,30.0,Marketing,1.0,116502,Yes,Medium,No
EMP_0396,50.0,Marketing,3.0,57374,No,Low,No
EMP_0397,50.0,Sales,3.0,116674,Yes,High,No
EMP_0398,30.0,Marketing,10.0,85913,Yes,High,No
EMP_0399,45.0,IT,3.0,106025,Yes,High,Yes
EMP_0400,45.0,IT,3.0,84516,No,Medium,No
EMP_0401,25.0,Marketing,,66069,Yes,Low,No
EMP_0402,50.0,HR,1.0,96233,Yes,High,No
EMP_0403,35.0,Marketing,3.0,99049,Yes,Low,No
EMP_0404,45.0,Marketing,1.0,79178,No,High,Yes
EMP_0405,30.0,IT,7.0,72821,No,High,Yes
EMP_0406,50.0,Sales,15.0,91727,No,Low,No
EMP_0407,30.0,IT,2.0,100935,Yes,Low,No
EMP_0408,22.0,Sales,10.0,56999,No,Low,No
EMP_0409,50.0,IT,2.0,102522,Yes,Medium,Yes
EMP_0410,22.0,Marketing,15.0,78712,Yes,High,No
EMP_0411,30.0,IT,7.0,104551,No,Medium,Yes
EMP_0412,,IT,10.0,80172,Yes,Low,No
EMP_0413,,IT,1.0,73722,No,High,No
EMP_0414,35.0,Marketing,,50625,Yes,Medium,No
EMP_0415,35.0,Marketing,7.0,107165,No,High,Yes
EMP_0416,30.0,Marketing,2.0,116509,Yes,Medium,No
EMP_0417,25.0,Marketing,10.0,46859,Yes,Low,No
EMP_0418,30.0,Sales,2.0,81609,Yes,Medium,No
EMP_0419,40.0,Sales,10.0,83307,Yes,High,No
EMP_0420,45.0,HR,1.0,61839,Yes,High,Yes
EMP_0421,45.0,Marketing,7.0,67216,No,High,No
EMP_0422,45.0,Sales,3.0,92953,Yes,High,No
EMP_0423,22.0,IT,1.0,100593,No,Low,Yes
EMP_0424,30.0,Marketing,2.0,112075,No,Medium,No
EMP_0425,22.0,HR,1.0,89522,No,Low,Yes
EMP_0426,35.0,HR,3.0,44886,Yes,Low,No
EMP_0427,30.0,HR,2.0,47485,Yes,Low,Yes
EMP_0428,50.0,IT,5.0,71455,Yes,High,No
EMP_0429,30.0,Sales,2.0,56767,No,High,No
EMP_0430,25.0,IT,2.0,68453,Yes,High,No
EMP_0431,25.0,Marketing,7.0,116280,Yes,Medium,No
EMP_0432,45.0,HR,1.0,93442,No,High,No
EMP_0433,35.0,IT,15.0,91877,No,Medium,Yes
EMP_0434,25.0,IT,10.0,52226,No,High,Yes
EMP_0435,22.0,Sales,5.0,62588,No,High,Yes
EMP_0436,40.0,Sales,5.0,118976,No,Low,Yes
EMP_0437,22.0,HR,10.0,71709,No,Low,No
EMP_0438,45.0,IT,2.0,87788,Yes,Low,No
EMP_0439,40.0,IT,1.0,77019,No,Medium,No
EMP_0440,22.0,Sales,2.0,84948,Yes,Medium,No
EMP_0441,22.0,IT,7.0,105133,Yes,High,No
EMP_0442,,IT,1.0,106458,Yes,Medium,No
EMP_0443,30.0,IT,5.0,67526,No,High,Yes
EMP_0444,30.0,Sales,,113493,Yes,Medium,No
EMP_0445,45.0,HR,10.0,92198,No,Medium,No
EMP_0446,50.0,Marketing,3.0,83395,No,Medium,No
EMP_0447,,HR,1.0,64031,Yes,Low,No
EMP_0448,45.0,Marketing,10.0,115542,No,Medium,No
EMP_0449,30.0,IT,5.0,77701,Yes,Low,No
EMP_0450,22.0,HR,1.0,65939,Yes,Low,No
EMP_0451,45.0,Marketing,1.0,89145,No,Medium,No
EMP_0452,35.0,Sales,15.0,60324,Yes,High,Yes
EMP_0453,30.0,Sales,5.0,62867,Yes,High,No
EMP_0454,50.0,HR,10.0,40203,Yes,High,No
EMP_0455,25.0,HR,10.0,56544,No,Medium,No
EMP_0456,30.0,IT,5.0,55899,Yes,High,No
EMP_0457,22.0,HR,3.0,69063,No,Low,No
EMP_0458,30.0,IT,3.0,43748,No,High,No
EMP_0459,22.0,IT,2.0,106629,Yes,Medium,No
EMP_0460,25.0,Sales,3.0,60884,Yes,High,No
EMP_0461,25.0,Sales,7.0,65183,No,Low,No
EMP_0462,35.0,Marketing,5.0,111246,No,Medium,Yes
EMP_0463,40.0,Sales,10.0,59259,Yes,High,No
EMP_0464,35.0,Sales,3.0,75959,Yes,Medium,Yes
EMP_0465,,HR,5.0,73457,No,Medium,No
EMP_0466,30.0,Sales,5.0,42103,No,Medium,Yes
